from,to,time (ms),mem (kb),order_min,order_max,order_median,size_min,size_max,size_median,density_min,density_max,density_median
19742,19752,35120,2507488,120,120,120.0,180,180,180.0,0.025210084033613446,0.025210084033613446,0.025210084033613446
19752,19762,34330,2500320,40,120,120.0,180,180,180.0,0.025210084033613446,0.23076923076923078,0.025210084033613446
19762,19772,35480,2548192,36,181,120.0,180,180,180.0,0.011049723756906077,0.2857142857142857,0.025210084033613446
19772,19782,32490,2494344,30,120,120.0,180,180,180.0,0.025210084033613446,0.41379310344827586,0.025210084033613446
19782,19792,35020,2508000,120,120,120.0,180,180,180.0,0.025210084033613446,0.025210084033613446,0.025210084033613446
19792,19802,32020,2483680,30,120,120.0,180,180,180.0,0.025210084033613446,0.41379310344827586,0.025210084033613446
19802,19812,35260,2510304,120,120,120.0,180,180,180.0,0.025210084033613446,0.025210084033613446,0.025210084033613446
19812,19822,35390,2510048,120,120,120.0,180,180,180.0,0.025210084033613446,0.025210084033613446,0.025210084033613446
19822,19832,36160,2508400,120,120,120.0,180,180,180.0,0.025210084033613446,0.025210084033613446,0.025210084033613446
19832,19842,36120,2505084,120,120,120.0,180,180,180.0,0.025210084033613446,0.025210084033613446,0.025210084033613446
19842,19852,54080,2497760,20,120,120.0,180,180,180.0,0.025210084033613446,0.9473684210526315,0.025210084033613446
19852,19862,59570,2488540,24,122,122.0,180,183,183.0,0.024793388429752067,0.6521739130434783,0.024793388429752067
19862,19872,66400,2518496,122,124,122.0,183,186,183.0,0.024390243902439025,0.024793388429752067,0.024793388429752067
19872,19882,67550,2521568,124,124,124.0,186,186,186.0,0.024390243902439025,0.024390243902439025,0.024390243902439025
19882,19892,39710,2517472,34,126,124.0,186,189,186.0,0.024,0.3333333333333333,0.024390243902439025
19892,19902,36620,2530016,21,126,126.0,189,189,189.0,0.024,0.9,0.024
19902,19912,38720,2541540,126,126,126.0,189,189,189.0,0.024,0.024,0.024
19912,19922,51430,2531544,20,128,126.0,189,190,189.0,0.023375984251968504,1.0,0.024
19922,19932,70300,2554588,128,128,128.0,192,192,192.0,0.023622047244094488,0.023622047244094488,0.023622047244094488
19932,19942,70380,2552544,128,128,128.0,192,192,192.0,0.023622047244094488,0.023622047244094488,0.023622047244094488
19942,19952,64920,2547680,128,128,128.0,192,192,192.0,0.023622047244094488,0.023622047244094488,0.023622047244094488
19952,19962,43150,2543580,64,128,128.0,192,192,192.0,0.023622047244094488,0.09523809523809523,0.023622047244094488
19962,19972,56250,2541536,24,128,128.0,192,192,192.0,0.023622047244094488,0.6956521739130435,0.023622047244094488
19972,19982,60050,2525660,24,128,128.0,192,192,192.0,0.023622047244094488,0.6956521739130435,0.023622047244094488
19982,19992,56520,2549984,128,128,128.0,192,192,192.0,0.023622047244094488,0.023622047244094488,0.023622047244094488
19992,20002,41430,2548956,128,128,128.0,192,192,192.0,0.023622047244094488,0.023622047244094488,0.023622047244094488
20002,20012,39760,2547992,32,128,128.0,192,192,192.0,0.023622047244094488,0.3870967741935484,0.023622047244094488
20012,20022,40750,2553812,87,130,130.0,193,195,195.0,0.023255813953488372,0.051590483827853514,0.023255813953488372
20022,20032,40000,2555316,35,130,130.0,195,195,195.0,0.023255813953488372,0.3277310924369748,0.023255813953488372
20032,20042,41410,2559932,28,132,132.0,195,198,198.0,0.022900763358778626,0.5185185185185185,0.022900763358778626
20042,20052,51490,2570720,132,132,132.0,198,198,198.0,0.022900763358778626,0.022900763358778626,0.022900763358778626
20052,20062,75210,2569436,132,132,132.0,198,198,198.0,0.022900763358778626,0.022900763358778626,0.022900763358778626
20062,20072,68980,2559000,36,132,132.0,198,198,198.0,0.022900763358778626,0.3142857142857143,0.022900763358778626
20072,20082,74820,2569688,25,134,134.0,200,201,201.0,0.022556390977443608,0.6666666666666666,0.022556390977443608
20082,20092,54760,2588320,133,136,134.0,201,204,202.0,0.022222222222222223,0.023125996810207338,0.022556390977443608
20092,20102,44870,2587572,136,136,136.0,204,204,204.0,0.022222222222222223,0.022222222222222223,0.022222222222222223
20102,20112,53610,2592224,136,136,136.0,204,204,204.0,0.022222222222222223,0.022222222222222223,0.022222222222222223
20112,20122,77330,2594524,41,138,136.0,204,207,205.5,0.021897810218978103,0.25,0.022222222222222223
20122,20132,83190,2603588,138,138,138.0,207,207,207.0,0.021897810218978103,0.021897810218978103,0.021897810218978103
20132,20142,61130,2580956,40,140,138.0,207,210,207.5,0.02158273381294964,0.26794871794871794,0.021897810218978103
20142,20152,38860,2594012,30,140,140.0,210,210,210.0,0.02158273381294964,0.4827586206896552,0.02158273381294964
20152,20162,54740,2545116,21,140,40.0,210,210,210.0,0.02158273381294964,1.0,0.2692307692307692
20162,20172,72610,2588384,28,140,140.0,210,210,210.0,0.02158273381294964,0.5555555555555556,0.02158273381294964
20172,20182,71510,2601436,35,140,140.0,210,210,210.0,0.02158273381294964,0.35294117647058826,0.02158273381294964
20182,20192,58810,2615964,140,140,140.0,210,210,210.0,0.02158273381294964,0.02158273381294964,0.02158273381294964
20192,20202,32100,2480712,40,40,40.0,211,212,211.0,0.2705128205128205,0.2717948717948718,0.2705128205128205
20202,20212,35080,2552284,40,142,40.0,212,213,212.0,0.02127659574468085,0.27307692307692305,0.2717948717948718
20212,20222,45540,2619360,40,142,142.0,213,213,213.0,0.02127659574468085,0.27307692307692305,0.02127659574468085
20222,20232,35030,2565644,40,142,40.0,213,213,213.0,0.02127659574468085,0.27307692307692305,0.27307692307692305
20232,20242,32310,2489104,40,40,40.0,213,214,213.0,0.27307692307692305,0.2743589743589744,0.27307692307692305
20242,20252,32680,2491628,40,40,40.0,214,215,214.0,0.2743589743589744,0.27564102564102566,0.2743589743589744
20252,20262,41120,2596064,27,144,144.0,215,216,216.0,0.02097902097902098,0.6153846153846154,0.02097902097902098
20262,20272,41580,2621152,27,144,144.0,216,216,216.0,0.02097902097902098,0.6153846153846154,0.02097902097902098
20272,20282,43710,2625760,36,144,144.0,216,216,216.0,0.02097902097902098,0.34285714285714286,0.02097902097902098
20282,20292,44570,2634568,144,144,144.0,216,216,216.0,0.02097902097902098,0.02097902097902098,0.02097902097902098
20292,20302,45010,2638048,144,144,144.0,216,216,216.0,0.02097902097902098,0.02097902097902098,0.02097902097902098
20302,20312,44800,2636256,144,144,144.0,216,216,216.0,0.02097902097902098,0.02097902097902098,0.02097902097902098
20312,20322,45240,2639072,144,144,144.0,216,216,216.0,0.02097902097902098,0.02097902097902098,0.02097902097902098
20322,20332,44650,2639588,144,144,144.0,216,216,216.0,0.02097902097902098,0.02097902097902098,0.02097902097902098
20332,20342,43100,2629600,24,144,144.0,216,216,216.0,0.02097902097902098,0.782608695652174,0.02097902097902098
20342,20352,45960,2636548,144,144,144.0,216,216,216.0,0.02097902097902098,0.02097902097902098,0.02097902097902098
20352,20362,44990,2636768,144,144,144.0,216,216,216.0,0.02097902097902098,0.02097902097902098,0.02097902097902098
20362,20372,42790,2622432,36,144,144.0,216,216,216.0,0.02097902097902098,0.34285714285714286,0.02097902097902098
20372,20382,45780,2639072,144,144,144.0,216,216,216.0,0.02097902097902098,0.02097902097902098,0.02097902097902098
20382,20392,45070,2641888,144,146,146.0,216,219,219.0,0.020689655172413793,0.02097902097902098,0.020689655172413793
20392,20402,46840,2638228,22,146,146.0,219,220,219.0,0.020689655172413793,0.9523809523809523,0.020689655172413793
20402,20412,49750,2647244,110,148,148.0,220,222,222.0,0.02040816326530612,0.03669724770642202,0.02040816326530612
20412,20422,78220,2658528,148,148,148.0,222,222,222.0,0.02040816326530612,0.02040816326530612,0.02040816326530612
20422,20432,73080,2630880,30,150,112.5,222,225,224.5,0.020134228187919462,0.5172413793103449,0.048652475344204665
20432,20442,87650,2669532,150,150,150.0,225,225,225.0,0.020134228187919462,0.020134228187919462,0.020134228187919462
20442,20452,78200,2669316,150,150,150.0,225,225,225.0,0.020134228187919462,0.020134228187919462,0.020134228187919462
20452,20462,88690,2663136,150,152,150.0,225,228,225.0,0.019867549668874173,0.020134228187919462,0.020134228187919462
20462,20472,85790,2680288,152,152,152.0,228,228,228.0,0.019867549668874173,0.019867549668874173,0.019867549668874173
20472,20482,86230,2672608,152,152,152.0,228,228,228.0,0.019867549668874173,0.019867549668874173,0.019867549668874173
20482,20492,84660,2676960,40,154,154.0,228,231,231.0,0.0196078431372549,0.2948717948717949,0.0196078431372549
20492,20502,87260,2680284,154,154,154.0,231,231,231.0,0.0196078431372549,0.0196078431372549,0.0196078431372549
20502,20512,86670,2733308,22,231,155.0,231,234,231.5,0.008695652173913044,1.0,0.01948134092346616
20512,20522,87090,2690784,36,156,156.0,234,234,234.0,0.01935483870967742,0.37142857142857144,0.01935483870967742
20522,20532,88710,2720992,156,156,156.0,234,234,234.0,0.01935483870967742,0.01935483870967742,0.01935483870967742
20532,20542,86910,2692572,39,156,156.0,234,234,234.0,0.01935483870967742,0.3157894736842105,0.01935483870967742
20542,20552,89780,2703068,156,156,156.0,234,234,234.0,0.01935483870967742,0.01935483870967742,0.01935483870967742
20552,20562,90300,2722268,156,158,157.0,234,237,235.5,0.01910828025477707,0.01935483870967742,0.019231559482227246
20562,20572,89460,2713056,158,158,158.0,237,237,237.0,0.01910828025477707,0.01910828025477707,0.01910828025477707
20572,20582,90310,2740444,160,160,160.0,240,240,240.0,0.018867924528301886,0.018867924528301886,0.018867924528301886
20582,20592,81860,2687196,24,160,160.0,240,240,240.0,0.018867924528301886,0.8695652173913043,0.018867924528301886
20592,20602,91070,2740448,160,160,160.0,240,240,240.0,0.018867924528301886,0.018867924528301886,0.018867924528301886
20602,20612,94220,2739932,160,160,160.0,240,240,240.0,0.018867924528301886,0.018867924528301886,0.018867924528301886
20612,20622,89880,2718684,32,160,160.0,240,240,240.0,0.018867924528301886,0.4838709677419355,0.018867924528301886
20622,20632,92910,2714592,160,160,160.0,240,240,240.0,0.018867924528301886,0.018867924528301886,0.018867924528301886
20632,20642,83580,2708704,30,160,160.0,240,240,240.0,0.018867924528301886,0.5517241379310345,0.018867924528301886
20642,20652,89670,2740388,160,160,160.0,240,240,240.0,0.018867924528301886,0.018867924528301886,0.018867924528301886
20652,20662,84810,2708188,32,160,160.0,240,240,240.0,0.018867924528301886,0.4838709677419355,0.018867924528301886
20662,20672,84550,2708188,40,160,160.0,240,240,240.0,0.018867924528301886,0.3076923076923077,0.018867924528301886
20672,20682,82220,2696412,40,160,160.0,240,240,240.0,0.018867924528301886,0.3076923076923077,0.018867924528301886
20682,20692,91310,2741728,160,162,160.0,240,243,240.0,0.018633540372670808,0.018867924528301886,0.018867924528301886
20692,20702,91800,2749148,162,162,162.0,243,243,243.0,0.018633540372670808,0.018633540372670808,0.018633540372670808
20702,20712,92310,2744032,162,162,162.0,243,243,243.0,0.018633540372670808,0.018633540372670808,0.018633540372670808
20712,20722,88000,2719704,27,162,162.0,243,243,243.0,0.018633540372670808,0.6923076923076923,0.018633540372670808
20722,20732,93800,2750464,162,162,162.0,243,243,243.0,0.018633540372670808,0.018633540372670808,0.018633540372670808
20732,20742,90480,2746848,35,164,164.0,243,246,246.0,0.018404907975460124,0.4117647058823529,0.018404907975460124
20742,20752,92340,2741212,164,164,164.0,246,246,246.0,0.018404907975460124,0.018404907975460124,0.018404907975460124
20752,20762,93230,2755296,32,166,164.0,246,249,246.0,0.01818181818181818,0.5,0.018404907975460124
20762,20772,96200,2768092,166,166,166.0,249,249,249.0,0.01818181818181818,0.01818181818181818,0.01818181818181818
20772,20782,82690,2728928,24,168,139.5,249,252,250.5,0.017964071856287425,0.9130434782608695,0.028923399609240317
20782,20792,96830,2769376,36,168,168.0,252,252,252.0,0.017964071856287425,0.4,0.017964071856287425
20792,20802,99070,2778588,168,168,168.0,252,252,252.0,0.017964071856287425,0.017964071856287425,0.017964071856287425
20802,20812,96590,2804440,168,168,168.0,252,252,252.0,0.017964071856287425,0.017964071856287425,0.017964071856287425
20812,20822,101780,2805980,168,168,168.0,252,252,252.0,0.017964071856287425,0.017964071856287425,0.017964071856287425
